country,year,v2x_frassoc_thick,NGDPDPC,NGDP_RPCH,v2x_pubcorr,v2xnp_regcorr,v2xel_frefair,v2x_freexp,v2elembcap
AFG,1990,0.063,,,0.556,0.538,0.069,0.085,-1.65
AFG,1991,0.068,,,0.556,0.538,0.069,0.074,-1.65
AFG,1992,0.134,,,0.645,0.736,0.028,0.071,-1.65
AFG,1993,0.159,,,0.843,0.909,0.0,0.069,-1.65
AFG,1994,0.159,,,0.843,0.909,0.0,0.069,-1.65
AFG,1995,0.159,,,0.843,0.912,0.0,0.069,-1.65
AFG,1996,0.062,,,0.745,0.906,0.0,0.029,-1.65
AFG,1997,0.038,,,0.707,0.806,0.0,0.02,-1.65
AFG,1998,0.038,,,0.707,0.806,0.0,0.02,-1.65
AFG,1999,0.038,,,0.707,0.806,0.0,0.02,-1.65
AFG,2000,0.038,,,0.707,0.806,0.0,0.02,-1.65
AFG,2001,0.081,,,0.747,0.806,0.0,0.049,-1.65
AFG,2002,0.642,,,0.892,0.91,0.0,0.547,-0.896
AFG,2003,0.642,,,0.892,0.91,0.0,0.612,-0.896
AFG,2004,0.652,,,0.892,0.934,0.06,0.6,-0.896
AFG,2005,0.648,,,0.929,0.927,0.241,0.625,-0.813
AFG,2006,0.648,,,0.938,0.941,0.241,0.621,-0.75
AFG,2007,0.648,,,0.942,0.945,0.241,0.622,-0.75
AFG,2008,0.652,,,0.942,0.945,0.241,0.629,-0.75
AFG,2009,0.65,,,0.942,0.945,0.215,0.631,-0.75
AFG,2010,0.629,,,0.951,0.945,0.175,0.638,-0.75
AFG,2011,0.632,,,0.951,0.945,0.186,0.638,-0.75
AFG,2012,0.635,,,0.96,0.945,0.195,0.639,-0.792
AFG,2013,0.625,,,0.928,0.923,0.193,0.625,-0.423
AFG,2014,0.625,,,0.9,0.911,0.195,0.627,-0.423
AFG,2015,0.611,,,0.894,0.867,0.196,0.608,-0.423
AFG,2016,0.597,,,0.882,0.879,0.184,0.59,-0.943
AFG,2017,0.584,,,0.866,0.871,0.168,0.602,-1.386
AFG,2018,0.58,,,0.825,0.892,0.165,0.615,-1.386
AFG,2019,0.605,,,0.842,0.898,0.156,0.573,-0.949
AFG,2020,0.566,,,0.818,0.849,0.161,0.613,-0.673
AFG,2021,0.096,,,0.523,0.681,0.063,0.103,-2.552
AFG,2022,0.035,,,0.585,0.571,0.0,0.031,-3.141
AFG,2023,0.027,,,0.567,0.651,0.0,0.026,-3.141
AFG,2024,0.05,,,0.68,0.678,0.0,0.053,-3.141
ARM,1990,0.717,,,0.321,0.247,0.722,0.711,-0.326
ARM,1991,0.782,,,0.414,0.313,0.724,0.778,0.0
ARM,1992,0.788,,,0.414,0.348,0.741,0.771,0.0
ARM,1993,0.761,,,0.414,0.411,0.741,0.765,0.0
ARM,1994,0.741,,,0.414,0.411,0.741,0.734,0.0
ARM,1995,0.691,,,0.482,0.474,0.543,0.719,-0.145
ARM,1996,0.7,,,0.644,0.572,0.353,0.718,-0.145
ARM,1997,0.623,,,0.644,0.605,0.337,0.718,-0.036
ARM,1998,0.692,,,0.604,0.779,0.347,0.703,0.644
ARM,1999,0.741,,,0.604,0.746,0.36,0.678,1.008
ARM,2000,0.732,,,0.661,0.798,0.355,0.681,1.008
ARM,2001,0.732,,,0.78,0.863,0.355,0.681,1.008
ARM,2002,0.732,,,0.78,0.863,0.355,0.681,1.008
ARM,2003,0.742,,,0.78,0.863,0.182,0.674,0.841
ARM,2004,0.743,,,0.78,0.863,0.154,0.674,0.841
ARM,2005,0.747,,,0.78,0.863,0.154,0.674,0.841
ARM,2006,0.727,,,0.78,0.863,0.154,0.674,0.841
ARM,2007,0.729,,,0.78,0.863,0.188,0.648,1.326
