region,subregion,country,year,PISA,GDI,GINI,LibDem,Public Spending on Education,Private Spending on Education
Oceania,Australia and New Zealand,Australia,2000,528.0,0.967,,0.84,,
Oceania,Australia and New Zealand,Australia,2001,,0.958,33.5,0.839,,
Oceania,Australia and New Zealand,Australia,2002,,0.958,,0.834,,
Oceania,Australia and New Zealand,Australia,2003,525.0,0.959,33.5,0.834,,
Oceania,Australia and New Zealand,Australia,2004,,0.958,33.1,0.833,,
Oceania,Australia and New Zealand,Australia,2005,,0.959,,0.832,,
Oceania,Australia and New Zealand,Australia,2006,513.0,0.961,,0.832,,
Oceania,Australia and New Zealand,Australia,2007,,0.962,,0.836,,
Oceania,Australia and New Zealand,Australia,2008,,0.962,35.4,0.85,,
Oceania,Australia and New Zealand,Australia,2009,515.0,0.964,,0.85,,
Oceania,Australia and New Zealand,Australia,2010,,0.964,34.7,0.86,,
Oceania,Australia and New Zealand,Australia,2011,,0.966,,0.864,,
Oceania,Australia and New Zealand,Australia,2012,512.0,0.962,,0.864,,
Oceania,Australia and New Zealand,Australia,2013,,0.962,,0.823,,
Oceania,Australia and New Zealand,Australia,2014,,0.961,34.4,0.815,,
Oceania,Australia and New Zealand,Australia,2015,503.0,0.964,,0.829,,
Oceania,Australia and New Zealand,Australia,2016,,0.966,33.7,0.832,,
Oceania,Australia and New Zealand,Australia,2017,,0.967,,0.825,,
Oceania,Australia and New Zealand,Australia,2018,503.0,0.971,34.3,0.813,34.79288,34.79288
Oceania,Australia and New Zealand,Australia,2019,,0.971,,0.779,33.68129,33.68129
Oceania,Australia and New Zealand,Australia,2020,,0.972,,0.797,36.275318,36.275318
Oceania,Australia and New Zealand,Australia,2021,,0.972,,0.785,,
Oceania,Australia and New Zealand,Australia,2022,498.0,0.98,,0.8,,
Europe,Western Europe,Austria,2000,492.0,0.959,29.0,0.789,,
Europe,Western Europe,Austria,2001,,0.96,,0.789,,
Europe,Western Europe,Austria,2002,,0.962,,0.79,,
Europe,Western Europe,Austria,2003,491.0,0.961,29.5,0.791,,
Europe,Western Europe,Austria,2004,,0.961,29.8,0.789,,
Europe,Western Europe,Austria,2005,,0.964,28.7,0.788,,
Europe,Western Europe,Austria,2006,490.0,0.966,29.6,0.792,,
Europe,Western Europe,Austria,2007,,0.964,30.6,0.809,,
Europe,Western Europe,Austria,2008,,0.963,30.4,0.809,,
Europe,Western Europe,Austria,2009,470.0,0.965,31.5,0.809,,
Europe,Western Europe,Austria,2010,,0.975,30.3,0.805,,
Europe,Western Europe,Austria,2011,,0.975,30.8,0.806,,
Europe,Western Europe,Austria,2012,490.0,0.975,30.5,0.806,95.143448,95.143448
Europe,Western Europe,Austria,2013,,0.97,30.8,0.807,94.58402,94.58402
Europe,Western Europe,Austria,2014,,0.97,30.5,0.808,94.43082,94.43082
Europe,Western Europe,Austria,2015,485.0,0.969,30.5,0.808,93.76881,93.76881
Europe,Western Europe,Austria,2016,,0.973,30.8,0.781,93.57476,93.57476
Europe,Western Europe,Austria,2017,,0.971,29.7,0.785,91.09871,91.09871
Europe,Western Europe,Austria,2018,484.0,0.972,30.8,0.784,89.4591,89.4591
