date,country,country_name,rgdpmad,debtgdp,year,gov_revenue_gdp
1960,CAN,Canada,8752.507627924268,0.6612025015631332,1960,
1961,CAN,Canada,8832.745004192922,0.6865386839480004,1961,
1962,CAN,Canada,9276.909344428053,0.6792083011840443,1962,
1963,CAN,Canada,9566.381691293434,0.6663331853574115,1963,
1964,CAN,Canada,9999.364316051508,0.6321603705631217,1964,
1965,CAN,Canada,10472.916686595814,0.5942858442668356,1965,
1966,CAN,Canada,10946.135109398754,0.5816733635313608,1966,
1967,CAN,Canada,11078.269992166579,0.581189577236621,1967,
1968,CAN,Canada,11479.064091831378,0.5740182975091627,1968,
1969,CAN,Canada,11912.352219241327,0.5547046206719948,1969,
1970,CAN,Canada,12050.490515258263,0.5783426367359605,1970,
1971,CAN,Canada,12561.925689172991,0.5900380832017474,1971,
1972,CAN,Canada,13072.494334627207,0.577782652697601,1972,
1973,CAN,Canada,13837.895343425165,0.5333536181143088,1973,
1974,CAN,Canada,14204.68902324402,0.5045328403284655,1974,
1975,CAN,Canada,14316.26251658825,0.5083494474006666,1975,
1976,CAN,Canada,14902.391835866907,0.4365866299749812,1976,
1977,CAN,Canada,15222.680741624783,0.45150165239412543,1977,
1978,CAN,Canada,15680.200363616697,0.48022659676102847,1978,
1979,CAN,Canada,16170.145282140635,0.4527896995708154,1979,
1980,CAN,Canada,16175.706391578196,0.4563178663072744,1980,36.903
1981,CAN,Canada,16472.449799196787,0.46932890355905743,1981,38.94
1982,CAN,Canada,15779.405521012304,0.5266845731086246,1982,39.501
1983,CAN,Canada,16076.413304368663,0.5840257224976494,1983,38.972
1984,CAN,Canada,16835.824728229152,0.6167393648520737,1984,38.819
1985,CAN,Canada,17582.068954883274,0.6686944356084424,1985,38.712
1986,CAN,Canada,17862.103969653257,0.7099854407413845,1986,39.485
1987,CAN,Canada,18348.154593083917,0.7144908373457096,1987,39.682
1988,CAN,Canada,18993.076728586937,0.7108355166126499,1988,40.251
1989,CAN,Canada,19108.487068697887,0.7224708709375305,1989,40.535
1990,CAN,Canada,18872.38850546588,0.7518991176916141,1990,42.179
1991,CAN,Canada,18262.46376863137,0.8233953487693455,1991,43.078
1992,CAN,Canada,18146.724685223868,0.902315555047967,1992,43.308
1993,CAN,Canada,18309.1076884394,0.9632376399920791,1993,42.543
1994,CAN,Canada,18941.768399849854,0.9796179137160075,1994,42.076
1995,CAN,Canada,19237.797708562295,1.016010098392697,1995,42.245
1996,CAN,Canada,19330.596623229223,1.0171927577240745,1996,42.811
1997,CAN,Canada,19961.8228974183,0.9631791266441836,1997,43.502
1998,CAN,Canada,20612.3873465468,0.951645567683418,1998,43.549
1999,CAN,Canada,21563.04067519223,0.9136915092102222,1999,43.429
2000,CAN,Canada,22487.70818622514,0.8212687062792537,2000,43.197
2001,CAN,Canada,22686.64558523288,0.8265914473019219,2001,41.632
